fullname,part_of
Mus fragilicauda,Rodentia
Micaelamys granti,Rodentia
Myomyscus angolensis,Rodentia
Micaelamys namaquensis,Rodentia
Melomys talaudium,Rodentia
Melomys paveli,Rodentia
Melomys lutillus,Rodentia
Melomys matambuai,Rodentia
Melomys fulgens,Rodentia
Melomys howi,Rodentia
Melomys frigicola,Rodentia
Melomys dollmani,Rodentia
Melomys cooperae,Rodentia
Melomys caurinus,Rodentia
Melomys bannisteri,Rodentia
Melomys arcium,Rodentia
Mastomys kollmannspergeri,Rodentia
Mastomys awashensis,Rodentia
Mastacomys fuscus,Rodentia
Mastomys huberti,Rodentia
Mammelomys rattoides,Rodentia
Mammelomys lanosus,Rodentia
Madromys blanfordi,Rodentia
Limnomys bryophilus,Rodentia
Lemniscomys zebra,Rodentia
Leopoldamys milleti,Rodentia
Leopoldamys ciliatus,Rodentia
Hylomyscus grandis,Rodentia
Hydromys neobritannicus,Rodentia
Hadromys yunnanensis,Rodentia
Hybomys badius,Rodentia
Grammomys kuru,Rodentia
Grammomys poensis,Rodentia
Echiothrix centrosa,Rodentia
Desmomys yaldeni,Rodentia
Diplothrix legata,Rodentia
Dephomys eburneae,Rodentia
Dasymys sua,Rodentia
Dasymys rwandae,Rodentia
Dasymys cabrali,Rodentia
Crunomys suncoides,Rodentia
Dasymys alleni,Rodentia
Crateromys heaneyi,Rodentia
Chrotomys silaceus,Rodentia
Bullimus gamay,Rodentia
Arvicanthis rufinus,Rodentia
Batomys russatus,Rodentia
Arvicanthis niloticus,Rodentia
Apomys hylocetes,Rodentia
Arvicanthis ansorgei,Rodentia
Apomys gracilirostris,Rodentia
Apodemus witherbyi,Rodentia
Apodemus pallipes,Rodentia
Apodemus epimelas,Rodentia
Taterillus tranieri,Rodentia
Abeomelomys sevia,Rodentia
Aethomys ineptus,Rodentia
Meriones grandis,Rodentia
Gerbilliscus validus,Rodentia
Gerbilliscus robustus,Rodentia
Gerbilliscus phillipsi,Rodentia
Gerbilliscus leucogaster,Rodentia
Gerbilliscus nigricaudus,Rodentia
Gerbilliscus inclusus,Rodentia
Gerbilliscus guineae,Rodentia
Gerbilliscus brantsii,Rodentia
Gerbilliscus afra,Rodentia
Gerbilliscus boehmi,Rodentia
Dipodillus zakariai,Rodentia
Dipodillus stigmonyx,Rodentia
Dipodillus somalicus,Rodentia
Dipodillus simoni,Rodentia
Dipodillus rupicola,Rodentia
Dipodillus maghrebi,Rodentia
Dipodillus mackilligini,Rodentia
Dipodillus lowei,Rodentia
Dipodillus harwoodi,Rodentia
Dipodillus dasyurus,Rodentia
Dipodillus jamesi,Rodentia
Dipodillus campestris,Rodentia
Lophuromys zena,Rodentia
Dipodillus bottai,Rodentia
Lophuromys verhageni,Rodentia
Lophuromys roseveari,Rodentia
Lophuromys huttereri,Rodentia
Lophuromys eisentrauti,Rodentia
Lophuromys dudui,Rodentia
Lophuromys dieterleni,Rodentia
Lophuromys chrysopus,Rodentia
Lophuromys brevicaudus,Rodentia
Lophuromys ansorgei,Rodentia
Lophuromys aquilus,Rodentia
Lophuromys angolensis,Rodentia
Lophuromys brunneus,Rodentia
Acomys johannis,Rodentia
Acomys cineraceus,Rodentia
Acomys seurati,Rodentia
Acomys dimidiatus,Rodentia
Acomys chudeaui,Rodentia
Acomys cahirinus,Rodentia
Acomys airensis,Rodentia
Thomasomys vulcani,Rodentia
Thomasomys praetor,Rodentia
Thomasomys ucucha,Rodentia
Thomasomys popayanus,Rodentia
Thomasomys macrotis,Rodentia
Thomasomys onkiro,Rodentia
Thomasomys ischyrus,Rodentia
Thomasomys hudsoni,Rodentia
Thomasomys erro,Rodentia
Thomasomys caudivarius,Rodentia
Thomasomys cinnameus,Rodentia
Thomasomys apeco,Rodentia
Thaptomys nigrita,Rodentia
Sigmodon zanjonensis,Rodentia
Sigmodon planifrons,Rodentia
Tapecomys primus,Rodentia
Sigmodon toltecus,Rodentia
Sigmodon hirsutus,Rodentia
Rhipidomys modicus,Rodentia
Rhipidomys macrurus,Rodentia
Rhipidomys gardneri,Rodentia
Scapteromys aquaticus,Rodentia
Salinomys delicatus,Rodentia
Reithrodon typicus,Rodentia
Punomys kofordi,Rodentia
Rhipidomys emiliae,Rodentia
Rhagomys longilingua,Rodentia
Phyllotis bonariensis,Rodentia
Pearsonomys annectens,Rodentia
Oecomys catherinae,Rodentia
Oxymycterus amazonicus,Rodentia
Oxymycterus quaestor,Rodentia
Oecomys auyantepui,Rodentia
Paralomys gerbillus,Rodentia
Nectomys rattus,Rodentia
Oxymycterus caparoae,Rodentia
Oligoryzomys stramineus,Rodentia
Oligoryzomys fornesi,Rodentia
Oxymycterus josei,Rodentia
Oligoryzomys brendae,Rodentia
Oxymycterus dasytrichus,Rodentia
Noronhomys vespuccii,Rodentia
Oryzomys curasoae,Rodentia
Nectomys magdalenae,Rodentia
Nectomys apicalis,Rodentia
Necromys urichi,Rodentia
Necromys temchuki,Rodentia
Necromys punctulatus,Rodentia
Necromys obscurus,Rodentia
Necromys lenguarum,Rodentia
Necromys lasiurus,Rodentia
Necromys benefactus,Rodentia
Necromys lactens,Rodentia
Necromys amoenus,Rodentia
Neacomys paracou,Rodentia
Neacomys musseri,Rodentia
Neacomys minutus,Rodentia
Neacomys dubosti,Rodentia
Microakodontomys transitorius,Rodentia
Megaoryzomys curioi,Rodentia
Loxodontomys micropus,Rodentia
Lundomys molitor,Rodentia
Juliomys rimofrons,Rodentia
Loxodontomys pikumche,Rodentia
Juliomys pictipes,Rodentia
Handleyomys intectus,Rodentia
Graomys centralis,Rodentia
Handleyomys fuscatus,Rodentia
Deltamys kempi,Rodentia
Chibchanomys orcesi,Rodentia
Chelemys delfini,Rodentia
Calomys venustus,Rodentia
Phyllotis limatus,Rodentia
Calomys expulsus,Rodentia
Calomys tocantinsi,Rodentia
Brucepattersonius paradisus,Rodentia
Brucepattersonius soricinus,Rodentia
Brucepattersonius misionensis,Rodentia
Brucepattersonius iheringi,Rodentia
Brucepattersonius igniventris,Rodentia
Brucepattersonius guarani,Rodentia
Andalgalomys roigi,Rodentia
Brucepattersonius griserufescens,Rodentia
Akodon reigi,Rodentia
Amphinectomys savamis,Rodentia
Akodon pervalens,Rodentia
Akodon paranaensis,Rodentia
Akodon mystax,Rodentia
Akodon montensis,Rodentia
Akodon lutescens,Rodentia
Aepeomys reigi,Rodentia
Abrothrix sanborni,Rodentia
Abrothrix olivaceus,Rodentia
Abrothrix markhami,Rodentia
Abrothrix longipilis,Rodentia
Abrothrix lanosus,Rodentia
Abrothrix jelskii,Rodentia
Abrothrix illuteus,Rodentia
Abrothrix hershkovitzi,Rodentia
Abrothrix andinus,Rodentia
Peromyscus sagax,Rodentia
Peromyscus hylocetes,Rodentia
Peromyscus beatae,Rodentia
Peromyscus fraterculus,Rodentia
Neotoma macrotis,Rodentia
Neotoma leucodon,Rodentia
Habromys ixtlani,Rodentia
Habromys delicatulus,Rodentia
Neodon sikimensis,Rodentia
Neodon forresti,Rodentia
Neodon irene,Rodentia
Myodes smithii,Rodentia
Myodes shanseius,Rodentia
Myodes rutilus,Rodentia
Myodes rufocanus,Rodentia
Myodes rex,Rodentia
Myodes imaizumii,Rodentia
Myodes regulus,Rodentia
Myodes glareolus,Rodentia
Myodes gapperi,Rodentia
Myodes californicus,Rodentia
Myodes centralis,Rodentia
Microtus schidlovskii,Rodentia
Myodes andersoni,Rodentia
Microtus qazvinensis,Rodentia
Microtus paradoxus,Rodentia
Microtus liechtensteini,Rodentia
Microtus kikuchii,Rodentia
Microtus levis,Rodentia
Microtus ilaeus,Rodentia
Microtus dogramacii,Rodentia
Microtus clarkei,Rodentia
Microtus anatolicus,Rodentia
Microtus brachycercus,Rodentia
Lemmus portenkoi,Rodentia
Eothenomys miletus,Rodentia
Eothenomys wardi,Rodentia
Caryomys inez,Rodentia
Eothenomys cachinus,Rodentia
Blanfordimys bucharensis,Rodentia
Caryomys eva,Rodentia
Arvicola amphibius,Rodentia
Alticola olchonensis,Rodentia
Arvicola scherman,Rodentia
Alticola albicaudus,Rodentia
Voalavo gymnocaudus,Rodentia
Nesomys lambertoni,Rodentia
Nesomys audeberti,Rodentia
Eliurus petteri,Rodentia
Monticolomys koopmani,Rodentia
Eliurus grandidieri,Rodentia
Eliurus ellermani,Rodentia
Eliurus antsingy,Rodentia
Brachytarsomys villosa,Rodentia
Steatomys opimus,Rodentia
Steatomys bocagei,Rodentia
Dendromus nyasae,Rodentia
Dendromus leucostomus,Rodentia
Cricetomys kivuensis,Rodentia
Calomyscus grandis,Rodentia
Cricetomys ansorgei,Rodentia
Tachyoryctes storeyi,Rodentia
Calomyscus elburzensis,Rodentia
Tachyoryctes ibeanus,Rodentia
Spalax uralensis,Rodentia
Spalax nehringi,Rodentia
Spalax golani,Rodentia
Spalax judaei,Rodentia
Spalax leucodon,Rodentia
Spalax galili,Rodentia
Spalax ehrenbergi,Rodentia
Spalax carmeli,Rodentia
Eospalax smithii,Rodentia
Eospalax rothschildi,Rodentia
Eospalax fontanierii,Rodentia
Salpingotulus michaelis,Rodentia
Allactaga williamsi,Rodentia
Dryomys niethammeri,Rodentia
Eliomys munbyanus,Rodentia
Graphiurus nagtglasii,Rodentia
Chaetocauda sichuanensis,Rodentia
Graphiurus johnstoni,Rodentia
Graphiurus angolensis,Rodentia
Hsunycteris thomasi,Chiroptera
Glis glis,Rodentia
Vampyriscus brocki,Chiroptera
Vampyriscus nymphaea,Chiroptera
Vampyriscus bidens,Chiroptera
Myotis midastactus,Chiroptera
Rhinolophus belligerator,Chiroptera
Rhinolophus mcintyrei,Chiroptera
Anoura cadenai,Chiroptera
Thyroptera wynneae,Chiroptera
Rhinolophus proconsulis,Chiroptera
Scotophilus trujilloi,Chiroptera
Scotophilus ejetai,Chiroptera
Scotophilus livingstonii,Chiroptera
Scotophilus tandrefana,Chiroptera
Scotophilus andrewreborii,Chiroptera
Rhinolophus damarensis,Chiroptera
Casinycteris campomaanensis,Chiroptera
Myotis escalerai,Chiroptera
Miniopterus griffithsi,Chiroptera
Miniopterus mahafaliensis,Chiroptera
Miniopterus brachytragos,Chiroptera
Triaenops parvus,Chiroptera
Paratriaenops furculus,Chiroptera
Paratriaenops pauliani,Chiroptera
Paratriaenops auritus,Chiroptera
Neoromicia roseveari,Chiroptera
Rhinolophus mossambicus,Chiroptera
Rhinolophus cohenae,Chiroptera
Rhinolophus smithersi,Chiroptera
Megaloglossus azagnyi,Chiroptera
Sturnira burtonlimi,Chiroptera
Rhinolophus bocharicus,Chiroptera
Rhinopoma hadramauticum,Chiroptera
Neoromicia somalica,Chiroptera
Neoromicia nana,Chiroptera
Tylonycteris pygmaeus,Chiroptera
Neoromicia brunnea,Chiroptera
Myotis phanluongi,Chiroptera
Lonchophylla orcesi,Chiroptera
Lonchophylla chocoana,Chiroptera
Pteropus coxi,Chiroptera
Pteropus allenorum,Chiroptera
Myotis diminutus,Chiroptera
Triaenops menamena,Chiroptera
Sturnira koopmanhilli,Chiroptera
Natalus macrourus,Chiroptera
Dryadonycteris capixaba,Chiroptera
Niumbaha superba,Chiroptera
Sturnira sorianoi,Chiroptera
Rhinolophus xinanzhongguoensis,Chiroptera
Micronycteris giovanniae,Chiroptera
Perimyotis subflavus,Chiroptera
Dyacopterus rickarti,Chiroptera
Parastrellus hesperus,Chiroptera
Epomophorus anselli,Chiroptera
Plecotus ognevi,Chiroptera
Plecotus macrobullaris,Chiroptera
Dermanura tolteca,Chiroptera
Dermanura azteca,Chiroptera
Dermanura rosenbergi,Chiroptera
Dermanura glauca,Chiroptera
Dermanura watsoni,Chiroptera
Dermanura gnoma,Chiroptera
Dermanura anderseni,Chiroptera
Dermanura bogotensis,Chiroptera
Murina balaensis,Chiroptera
Lonchophylla peracchii,Chiroptera
Neoromicia robertsi,Chiroptera
Lophostoma occidentalis,Chiroptera
Miniopterus egeri,Chiroptera
Miniopterus petersoni,Chiroptera
Sturnira perla,Chiroptera
Eptesicus taddeii,Chiroptera
Chaerephon atsinanana,Chiroptera
Myotis flavus,Chiroptera
Hipposideros griffini,Chiroptera
Lophostoma kalkoae,Chiroptera
Coleura kibomalandy,Chiroptera
Mormopterus eleryi,Chiroptera
Paremballonura atrata,Chiroptera
Paremballonura tiavato,Chiroptera
Micronycteris yatesi,Chiroptera
Natalus lanatus,Chiroptera
Anoura fistulata,Chiroptera
Xeronycteris vieirai,Chiroptera
Thyroptera devivoi,Chiroptera
Asellia italosomalica,Chiroptera
Asellia arabica,Chiroptera
Myotis dieteri,Chiroptera
Rhogeessa menchuae,Chiroptera
Rhogeessa bickhami,Chiroptera
Artibeus schwartzi,Chiroptera
Anoura peruana,Chiroptera
Carollia benkeithi,Chiroptera
Carollia monohernandezi,Chiroptera
Carollia manu,Chiroptera
Barbastella beijingensis,Chiroptera
Chaerephon jobimena,Chiroptera
Otonycteris leucophaea,Chiroptera
Miniopterus aelleni,Chiroptera
Lophostoma yasuni,Chiroptera
Murina eleryi,Chiroptera
Murina harrisoni,Chiroptera
Murina gracilis,Chiroptera
Murina bicolor,Chiroptera
Eumops nanus,Chiroptera
Desmalopex microleucopterus,Chiroptera
Kerivoula titania,Chiroptera
Styloctenium mindorensis,Chiroptera
Murina beelzebub,Chiroptera
Eumops wilsoni,Chiroptera
Murina walstoni,Chiroptera
Rhinolophus microglobosus,Chiroptera
Desmalopex leucopterus,Chiroptera
Kerivoula kachinensis,Chiroptera
Harpiola grisea,Chiroptera
Harpiola isodon,Chiroptera
Miniopterus griveaudi,Chiroptera
Hipposideros khaokhouayensis,Chiroptera
Scotophilus marovaza,Chiroptera
Hipposideros boeadii,Chiroptera
Nyctophilus shirleyae,Chiroptera
Nyctophilus corbeni,Chiroptera
Pteralopex flanneryi,Chiroptera
Mirimiri acrodonta,Chiroptera
Myzopoda schliemanni,Chiroptera
Nyctophilus major,Chiroptera
Pipistrellus raceyi,Chiroptera
Dermanura phaeotis,Chiroptera
Dermanura cinerea,Chiroptera
Sturnira hondurensis,Chiroptera
Triaenops afer,Chiroptera
Natalus mexicanus,Chiroptera
Rhinolophus tatar,Chiroptera
Lonchophylla concava,Chiroptera
Myotis petax,Chiroptera
Myotis taiwanensis,Chiroptera
Plecotus christiei,Chiroptera
Nyctophilus daedalus,Chiroptera
Nyctophilus sherrini,Chiroptera
Plecotus sacrimontis,Chiroptera
Neoromicia malagasyensis,Chiroptera
Rhinopoma cystops,Chiroptera
Eumops floridanus,Chiroptera
Phoniscus papuensis,Chiroptera
Phoniscus jagorii,Chiroptera
Phoniscus atrox,Chiroptera
Phoniscus aerosa,Chiroptera
Murina ryukyuana,Chiroptera
Kerivoula lenis,Chiroptera
Harpiocephalus mordax,Chiroptera
Murina hilgendorfi,Chiroptera
Miniopterus shortridgei,Chiroptera
Miniopterus schreibersii,Chiroptera
Miniopterus paululus,Chiroptera
Miniopterus medius,Chiroptera
Miniopterus natalensis,Chiroptera
Miniopterus majori,Chiroptera
Miniopterus macrocneme,Chiroptera
Miniopterus manavi,Chiroptera
Miniopterus gleni,Chiroptera
Myotis yanbarensis,Chiroptera
Miniopterus africanus,Chiroptera
Myotis oxygnathus,Chiroptera
Myotis punicus,Chiroptera
Myotis occultus,Chiroptera
Myotis nipalensis,Chiroptera
Myotis melanorhinus,Chiroptera
Myotis moluccarum,Chiroptera
Myotis laniger,Chiroptera
Myotis macropus,Chiroptera
Myotis hermani,Chiroptera
Myotis hajastanicus,Chiroptera
Myotis gomantongensis,Chiroptera
Myotis fimbriatus,Chiroptera
Myotis davidii,Chiroptera
Myotis daubentonii,Chiroptera
Myotis csorbai,Chiroptera
Myotis bucharensis,Chiroptera
Myotis brandtii,Chiroptera
Myotis bocagii,Chiroptera
Myotis ater,Chiroptera
Myotis annamiticus,Chiroptera
Myotis bechsteinii,Chiroptera
Myotis anjouanensis,Chiroptera
Cistugo seabrae,Chiroptera
Cistugo lesueuri,Chiroptera
Bauerus dubiaquercus,Chiroptera
Vespertilio sinensis,Chiroptera
Myotis alcathoe,Chiroptera
Vespadelus vulturnus,Chiroptera
Vespadelus regulus,Chiroptera
Vespadelus troughtoni,Chiroptera
Vespadelus pumilus,Chiroptera
Vespadelus finlaysoni,Chiroptera
Vespadelus darlingtoni,Chiroptera
Vespadelus caurinus,Chiroptera
Vespadelus douglasorum,Chiroptera
Vespadelus baverstocki,Chiroptera
Neoromicia zuluensis,Chiroptera
Neoromicia tenuipinnis,Chiroptera
Neoromicia rendalli,Chiroptera
Neoromicia helios,Chiroptera
Neoromicia guineensis,Chiroptera
Neoromicia flavescens,Chiroptera
Hypsugo vordermanni,Chiroptera
Hypsugo savii,Chiroptera
Neoromicia capensis,Chiroptera
Hypsugo pulveratus,Chiroptera
Hypsugo musciculus,Chiroptera
Hypsugo macrotis,Chiroptera
Hypsugo crassulus,Chiroptera
Hypsugo imbricatus,Chiroptera
Hypsugo bodenheimeri,Chiroptera
Hypsugo eisentrauti,Chiroptera
Hypsugo joffrei,Chiroptera
Hypsugo lophurus,Chiroptera
Hypsugo ariel,Chiroptera
Hypsugo anthonyi,Chiroptera
Hypsugo arabicus,Chiroptera
Hypsugo cadornae,Chiroptera
Hypsugo anchietae,Chiroptera
Histiotus laephotis,Chiroptera
Histiotus humboldti,Chiroptera
Histiotus magellanicus,Chiroptera
Glauconycteris variegata,Chiroptera
Glauconycteris poensis,Chiroptera
Glauconycteris machadoi,Chiroptera
Glauconycteris kenyacola,Chiroptera
Glauconycteris gleni,Chiroptera
Glauconycteris humeralis,Chiroptera
Glauconycteris egeria,Chiroptera
Glauconycteris curryae,Chiroptera
Glauconycteris beatrix,Chiroptera
Glauconycteris argentata,Chiroptera
Falsistrellus tasmaniensis,Chiroptera
Glauconycteris alboguttata,Chiroptera
Falsistrellus petersi,Chiroptera
Falsistrellus mordax,Chiroptera
Chalinolobus neocaledonicus,Chiroptera
Falsistrellus mackenziei,Chiroptera
Falsistrellus affinis,Chiroptera
Plecotus sardus,Chiroptera
Plecotus kolombatovici,Chiroptera
Plecotus alpinus,Chiroptera
Plecotus balensis,Chiroptera
Pipistrellus wattsi,Chiroptera
Scotozous dormeri,Chiroptera
Pipistrellus westralis,Chiroptera
Pipistrellus rueppellii,Chiroptera
Pipistrellus deserti,Chiroptera
Pipistrellus papuanus,Chiroptera
Pipistrellus hesperidus,Chiroptera
Pipistrellus pygmaeus,Chiroptera
Pipistrellus adamsi,Chiroptera
Pipistrellus collinus,Chiroptera
Hypsugo kitcheneri,Chiroptera
Pipistrellus angulatus,Chiroptera
Pipistrellus abramus,Chiroptera
Nyctalus plancyi,Chiroptera
Nyctophilus nebulosus,Chiroptera
Nyctophilus bifax,Chiroptera
Nyctophilus howensis,Chiroptera
Nyctalus furvus,Chiroptera
Scotorepens sanborni,Chiroptera
Scotorepens greyii,Chiroptera
Scotorepens orion,Chiroptera
Scotophilus nucella,Chiroptera
Scotorepens balstoni,Chiroptera
Scotophilus collinus,Chiroptera
Scotoecus hindei,Chiroptera
Scotophilus heathii,Chiroptera
Scotoecus albigula,Chiroptera
Scoteanax rueppellii,Chiroptera
Rhogeessa hussoni,Chiroptera
Rhogeessa aeneus,Chiroptera
Rhogeessa io,Chiroptera
Nycticeius cubanus,Chiroptera
Nycticeius aenobarbus,Chiroptera
Lasiurus salinae,Chiroptera
Lasiurus varius,Chiroptera
Lasiurus insularis,Chiroptera
Lasiurus ebenus,Chiroptera
Lasiurus degelidus,Chiroptera
Lasiurus pfeifferi,Chiroptera
Lasiurus atratus,Chiroptera
Eptesicus nilssonii,Chiroptera
Eptesicus matroka,Chiroptera
Eptesicus japonensis,Chiroptera
Eptesicus gobiensis,Chiroptera
Eptesicus dimissus,Chiroptera
Eptesicus chiriquinus,Chiroptera
Arielulus torquatus,Chiroptera
Arielulus societatis,Chiroptera
Eptesicus andinus,Chiroptera
Arielulus cuprosus,Chiroptera
Arielulus circumdatus,Chiroptera
Arielulus aureocollaris,Chiroptera
Tadarida latouchei,Chiroptera
Tadarida kuboriensis,Chiroptera
Tadarida insignis,Chiroptera
Sauromys petrophilus,Chiroptera
Platymops setiger,Chiroptera
Otomops madagascariensis,Chiroptera
Otomops johnstonei,Chiroptera
Mops leucostigma,Chiroptera
Mormopterus loriae,Chiroptera
Molossus rufus,Chiroptera
Molossus currentium,Chiroptera
Molossus coibensis,Chiroptera
Molossus barnesi,Chiroptera
Molossus aztecus,Chiroptera
Eumops trumbulli,Chiroptera
Cynomops planirostris,Chiroptera
Eumops patagonicus,Chiroptera
Cynomops paranus,Chiroptera
Cynomops mexicanus,Chiroptera
Cynomops greenhalli,Chiroptera
Cynomops abrasus,Chiroptera
Cheiromeles parvidens,Chiroptera
Chaerephon tomensis,Chiroptera
Chaerephon solomonis,Chiroptera
Chaerephon shortridgei,Chiroptera
Chaerephon russatus,Chiroptera
Chaerephon pumilus,Chiroptera
Chaerephon plicatus,Chiroptera
Chaerephon leucogaster,Chiroptera
Chaerephon bregullae,Chiroptera
Chaerephon bivittatus,Chiroptera
Nyctiellus lepidus,Chiroptera
Natalus primus,Chiroptera
Natalus jamaicensis,Chiroptera
Natalus major,Chiroptera
Chilonatalus tumidifrons,Chiroptera
Chilonatalus micropus,Chiroptera
Thyroptera lavali,Chiroptera
Pteronotus pristinus,Chiroptera
Mormoops magna,Chiroptera
Vampyressa thyone,Chiroptera
Enchisthenes hartii,Chiroptera
Sturnira oporaphilum,Chiroptera
Sturnira mistratensis,Chiroptera
Carollia sowelli,Chiroptera
Trinycteris nicefori,Chiroptera
Tonatia saurophila,Chiroptera
Neonycteris pusilla,Chiroptera
Mimon koepckeae,Chiroptera
Micronycteris sanborni,Chiroptera
Mimon cozumelae,Chiroptera
Micronycteris microtis,Chiroptera
Micronycteris matses,Chiroptera
Micronycteris brosseti,Chiroptera
Lophostoma schulzi,Chiroptera
Lophostoma silvicolum,Chiroptera
Lophostoma carrikeri,Chiroptera
Lophostoma evotis,Chiroptera
Lophostoma brasiliense,Chiroptera
Lonchorhina inusitata,Chiroptera
Glyphonycteris sylvestris,Chiroptera
Glyphonycteris daviesi,Chiroptera
Glyphonycteris behnii,Chiroptera
Anoura luismanueli,Chiroptera
Phyllonycteris major,Chiroptera
Lampronycteris brachyotis,Chiroptera
Nycteris parisii,Chiroptera
Nycteris vinsoni,Chiroptera
Nycteris madagascariensis,Chiroptera
Nycteris aurita,Chiroptera
Peropteryx trinitatis,Chiroptera
Centronycteris centralis,Chiroptera
Taphozous troughtoni,Chiroptera
Emballonura serii,Chiroptera
Rhinopoma macinnesi,Chiroptera
Taphozous achates,Chiroptera
Rhinopoma hardwickii,Chiroptera
Triaenops rufus,Chiroptera
Hipposideros vittatus,Chiroptera
Saccopteryx antioquensis,Chiroptera
Hipposideros thomensis,Chiroptera
Hipposideros sumbae,Chiroptera
Hipposideros sorenseni,Chiroptera
Hipposideros scutinares,Chiroptera
Hipposideros rotalis,Chiroptera
Hipposideros pelingensis,Chiroptera
Hipposideros orbiculus,Chiroptera
Hipposideros madurae,Chiroptera
Hipposideros hypophyllus,Chiroptera
Hipposideros inornatus,Chiroptera
Hipposideros grandis,Chiroptera
Hipposideros gigas,Chiroptera
Hipposideros edwardshilli,Chiroptera
Hipposideros demissus,Chiroptera
Hipposideros durgadasi,Chiroptera
Coelops frithii,Chiroptera
Rhinolophus ziama,Chiroptera
Rhinolophus siamensis,Chiroptera
Rhinolophus sinicus,Chiroptera
Rhinolophus shortridgei,Chiroptera
Rhinolophus ruwenzorii,Chiroptera
Rhinolophus sakejiensis,Chiroptera
Rhinolophus montanus,Chiroptera
Rhinolophus maendeleo,Chiroptera
Rhinolophus madurensis,Chiroptera
Rhinolophus hildebrandtii,Chiroptera
Rhinolophus formosae,Chiroptera
Rhinolophus convexus,Chiroptera
Rousettus linduensis,Chiroptera
Rousettus leschenaultii,Chiroptera
Pteropus yapensis,Chiroptera
Rousettus bidens,Chiroptera
Pteropus ualanus,Chiroptera
Pteropus temminckii,Chiroptera
Pteropus rennelli,Chiroptera
Pteropus pelewensis,Chiroptera
Pteropus loochoensis,Chiroptera
Pteropus keyensis,Chiroptera
Pteropus intermedius,Chiroptera
Pteropus cognatus,Chiroptera
Pteropus gilliardorum,Chiroptera
Pteropus capistratus,Chiroptera
Pteropus aruensis,Chiroptera
Pteralopex taki,Chiroptera
Plerotes anchietae,Chiroptera
Paranyctimene tenax,Chiroptera
Notopteris neocaledonica,Chiroptera
Nyctimene keasti,Chiroptera
Melonycteris fardoulisi,Chiroptera
Nanonycteris veldkampii,Chiroptera
Lissonycteris angolensis,Chiroptera
Epomops dobsonii,Chiroptera
Epomophorus minor,Chiroptera
Epomophorus crypturus,Chiroptera
Eonycteris robusta,Chiroptera
Dobsonia peronii,Chiroptera
Dyacopterus brooksi,Chiroptera
Dobsonia magna,Chiroptera
Dobsonia anderseni,Chiroptera
Dobsonia crenulata,Chiroptera
Cynopterus luzoniensis,Chiroptera
Cynopterus minutus,Chiroptera
Cynopterus horsfieldii,Chiroptera
Aethalops aequalis,Chiroptera
Trachypithecus shortridgei,Primates
Trachypithecus poliocephalus,Primates
Chlorocebus cynosuros,Primates
Trachypithecus laotum,Primates
Propithecus deckenii,Primates
Chiropotes israelita,Primates
Gorilla beringei,Primates
Brachyteles hypoxanthus,Primates
Symphalangus syndactylus,Primates
Nomascus gabriellae,Primates
Nomascus siki,Primates
Pongo abelii,Primates
Nomascus annamensis,Primates
Nomascus nasutus,Primates
Nomascus leucogenys,Primates
Nomascus hainanus,Primates
Nomascus concolor,Primates
Hylobates albibarbis,Primates
Hoolock leuconedys,Primates
Hoolock hoolock,Primates
Trachypithecus hatinhensis,Primates
Trachypithecus delacouri,Primates
Trachypithecus leucocephalus,Primates
Trachypithecus ebenus,Primates
Trachypithecus barbei,Primates
Trachypithecus germaini,Primates
Trachypithecus selangorensis,Primates
Semnopithecus hypoleucos,Primates
Semnopithecus johnii,Primates
Semnopithecus priam,Primates
Semnopithecus vetulus,Primates
Semnopithecus hector,Primates
Semnopithecus schistaceus,Primates
Semnopithecus ajax,Primates
Rhinopithecus strykeri,Primates
Simias concolor,Primates
Rhinopithecus brelichi,Primates
Rhinopithecus bieti,Primates
Rhinopithecus avunculus,Primates
Rhinopithecus roxellana,Primates
Presbytis natunae,Primates
Presbytis siamensis,Primates
Presbytis chrysomelas,Primates
Piliocolobus parmentieri,Primates
Piliocolobus tholloni,Primates
Piliocolobus oustaleti,Primates
Piliocolobus foai,Primates
Piliocolobus langi,Primates
Piliocolobus semlikiensis,Primates
Piliocolobus rufomitratus,Primates
Piliocolobus preussi,Primates
Piliocolobus epieni,Primates
Piliocolobus bouvieri,Primates
Piliocolobus pennantii,Primates
Piliocolobus gordonorum,Primates
Piliocolobus waldronae,Primates
Piliocolobus badius,Primates
Colobus vellerosus,Primates
Piliocolobus kirkii,Primates
Cercopithecus lomamiensis,Primates
Cercopithecus denti,Primates
Cercopithecus roloway,Primates
Cercopithecus lowei,Primates
Allochrocebus solatus,Primates
Allochrocebus preussi,Primates
Chlorocebus djamdjamensis,Primates
Chlorocebus sabaeus,Primates
Miopithecus ogouensis,Primates
Chlorocebus tantalus,Primates
Papio papio,Primates
Chlorocebus pygerythrus,Primates
Papio cynocephalus,Primates
Papio anubis,Primates
Papio ursinus,Primates
Rungwecebus kipunji,Primates
Lophocebus aterrimus,Primates
Cercocebus atys,Primates
Cercocebus sanjei,Primates
Macaca munzala,Primates
Macaca leonina,Primates
Macaca siberu,Primates
Macaca pagensis,Primates
Macaca nigrescens,Primates
Macaca hecki,Primates
Lagothrix lagothricha,Primates
Alouatta ululata,Primates
Ateles hybridus,Primates
Alouatta guariba,Primates
Alouatta nigerrima,Primates
Alouatta discolor,Primates
Alouatta macconnelli,Primates
Alouatta arctoidea,Primates
